"Date","Chrome","IE","Safari","Firefox","Android","Edge Legacy","Edge","Opera","Samsung Internet","BlackBerry","360 Safe Browser","Silk","UC Browser","IEMobile","Sony PS3","Mozilla","Nokia","AOL","Maxthon","Chromium","Sony PS4","NetFront","Puffin","Phantom","SeaMonkey","QQ Browser","Sony PSP","Unknown","Pale Moon","Openwave","Kindle","Yandex Browser","Nintendo 3DS","Coc Coc","TheWorld","Tencent Traveler","Other"
2012-11,22.49,35.05,18.65,16.36,4.94,0,0,0.53,0,0.27,0.03,0.3,0.27,0.13,0.23,0.01,0.18,0,0.04,0.08,0,0.03,0,0.02,0.02,0,0.03,0.01,0.03,0.01,0.02,0,0.05,0,0,0,0.18
2012-12,22.24,35.28,19.16,15.33,5.47,0,0,0.43,0,0.25,0.07,0.29,0.35,0.14,0.25,0.01,0.18,0,0.05,0.06,0,0.04,0,0.02,0.02,0.01,0.03,0.02,0.03,0.01,0.02,0,0.05,0,0,0,0.17
2013-01,22.14,35.91,19.59,14.48,5.46,0,0,0.38,0,0.23,0.05,0.47,0.28,0.15,0.23,0.01,0.13,0,0.05,0.05,0,0.03,0,0.02,0.02,0.01,0.02,0.02,0.03,0.01,0.02,0,0.05,0,0,0,0.15
2013-02,22.57,35.14,20.16,14.17,5.51,0,0,0.37,0,0.22,0.08,0.51,0.31,0.15,0.21,0,0.12,0,0.05,0.04,0,0.03,0,0.02,0.02,0.01,0.02,0.02,0.03,0.01,0.02,0,0.05,0,0,0,0.14
2013-03,22.92,34.96,19.83,14.13,5.54,0,0,0.48,0,0.2,0.17,0.51,0.34,0.16,0.19,0,0.05,0,0.06,0.05,0,0.03,0,0.02,0.02,0.01,0.02,0.02,0.03,0.01,0.02,0,0.06,0,0.01,0.01,0.14
2013-04,25.18,37.78,16.67,13.88,4.49,0,0,0.31,0,0.16,0.16,0.41,0.2,0.14,0.15,0,0.02,0,0.05,0.05,0,0.03,0,0.02,0.02,0.01,0.02,0.02,0.03,0.01,0.02,0,0.05,0,0.01,0.01,0.12
2013-05,29.57,33.12,16.77,13.87,4.51,0,0,0.33,0,0.16,0.26,0.41,0.17,0.15,0.16,0.01,0.02,0,0.06,0.05,0,0.03,0,0.05,0.02,0.01,0.02,0.02,0.03,0.01,0.02,0,0.03,0,0.01,0.01,0.11
2013-06,30.14,28.15,19.26,14.67,5.08,0,0,0.41,0,0.19,0.4,0.49,0.17,0.18,0.19,0.03,0.02,0,0.08,0.06,0,0.03,0,0.08,0.02,0.02,0.02,0.03,0.03,0.01,0.02,0,0.04,0,0.02,0.02,0.12
2013-07,30.61,25.87,20.4,14.69,5.36,0,0,0.53,0,0.46,0.38,0.52,0.13,0.21,0.21,0.01,0.02,0,0.07,0.06,0,0.03,0.03,0.04,0.02,0.02,0.02,0.03,0.03,0.01,0.02,0.01,0.04,0,0.02,0.02,0.14
2013-08,30.06,27.65,20,13.86,5.08,0,0,0.61,0,0.62,0.5,0.49,0.1,0.21,0.19,0.01,0.02,0,0.09,0.06,0,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.01,0.02,0.01,0.03,0,0.02,0.02,0.13
2013-09,25.18,35.38,19.33,12.14,4.62,0,0,0.61,0,0.64,0.55,0.45,0.11,0.21,0.15,0.01,0.02,0,0.09,0.07,0,0.04,0.03,0.02,0.01,0.03,0.02,0.02,0.03,0.01,0.02,0.01,0.02,0,0.02,0.02,0.13
2013-10,25.27,35.32,19.36,11.7,4.65,0,0,0.63,0,0.65,0.84,0.43,0.12,0.23,0.14,0.01,0.02,0,0.1,0.05,0,0.04,0.03,0.04,0.02,0.04,0.01,0.02,0.03,0.01,0.02,0.01,0.02,0,0.03,0.03,0.13
2013-11,27.08,32.76,19.52,11.5,5.09,0,0,0.58,0,0.68,1.1,0.47,0.14,0.26,0.13,0.03,0.03,0,0.12,0.05,0,0.04,0.02,0.03,0.02,0.04,0.01,0.03,0.03,0.01,0.03,0.01,0.02,0,0.04,0.04,0.1
2013-12,29.3,24.33,22.92,12.13,6.3,0,0,0.69,0,0.8,1.42,0.61,0.22,0.32,0.14,0.04,0.04,0,0.15,0.05,0,0.05,0.03,0.03,0.02,0.06,0.01,0.04,0.02,0.01,0.04,0.01,0.02,0,0.05,0.05,0.1
